Date,Open,High,Low,Close,Adj Close,Volume
5/2/21,150,151.300003,148.169998,151.300003,151.300003,1141937
8/2/21,152,156.5,152,153.460007,153.460007,1493208
9/2/21,157.889999,159,151.809998,152.100006,152.100006,3782183
10/2/21,153.449997,159.5,152.699997,158.470001,158.470001,934012
11/2/21,158.990005,160.050003,154.5,154.809998,154.809998,747892
12/2/21,153,157.610001,151.539993,151.740005,151.740005,730433
15/2/21,155.410004,156.289993,153,154.149994,154.149994,661195
16/2/21,155.5,156.300003,151.399994,153.460007,153.460007,638524
17/2/21,151.509995,152,143.789993,147.770004,147.770004,1157977
18/2/21,145.050003,152.509995,145,149.990005,149.990005,1304363
19/2/21,153.059998,159.279999,151.759995,151.919998,151.919998,1363893
22/2/21,152.350006,155.699997,149.190002,149.190002,149.190002,925159
23/2/21,146.690002,146.690002,135.899994,138.460007,138.460007,2104890
24/2/21,136.860001,136.949997,132.259995,134.360001,134.360001,1926421
25/2/21,134.360001,134.360001,134.360001,134.360001,134.360001,0
26/2/21,120.480003,126.199997,116,119.519997,119.519997,6288397
1/3/21,122.199997,126.949997,119.599998,125.660004,125.660004,2641686
2/3/21,133.679993,134,122.160004,123.480003,123.480003,2051434
3/3/21,121.480003,121.720001,118.300003,120.760002,120.760002,1463588
4/3/21,116.849998,122.25,115.519997,118.32,118.32,2796597
5/3/21,115.989998,116.300003,108.339996,115.400002,115.400002,2712399
8/3/21,118.07,121.199997,110.860001,111.199997,111.199997,1727653
9/3/21,105,107.25,99.379997,107.190002,107.190002,4161032
10/3/21,112.589996,118.480003,112.559998,115.260002,115.260002,3037977
11/3/21,115.870003,115.940002,105.110001,111,111,5327195
12/3/21,115.980003,116.555,112.889999,113.419998,113.419998,1545095
15/3/21,112.489998,112.489998,107.57,108.330002,108.330002,1043054
16/3/21,109.599998,112.330002,108.519997,111.709999,111.709999,1139575
17/3/21,111.779999,113.589996,108.879997,112.989998,112.989998,1387600
18/3/21,111.940002,112.699997,109.199997,111,111,1279654
19/3/21,107.980003,109.610001,106.75,108.300003,108.300003,2051266
22/3/21,108,111.599998,107.849998,109.529999,109.529999,837117
23/3/21,111.459999,111.959999,106.589996,107.139999,107.139999,939857
24/3/21,106.099998,108.800003,105.5,107.5,107.5,784480
25/3/21,105.019997,106.5,103.199997,105.459999,105.459999,1347929
26/3/21,104.010002,107,102.510002,105.889999,105.889999,1222098
29/3/21,105.949997,106.300003,100.730003,101.489998,101.489998,2718988
30/3/21,102.080002,103.400002,99.68,101.029999,101.029999,2250396
31/3/21,100.82,102,99.099998,101.5,101.5,2494883
1/4/21,101.760002,106,101.400002,105.519997,105.519997,2042561
6/4/21,110.349998,116.599998,110,116.040001,116.040001,2426434
7/4/21,119.400002,121.489998,117.620003,118.480003,118.480003,2108248
8/4/21,120.470001,120.480003,118.669998,120.010002,120.010002,1022691
9/4/21,121,123.989998,119.889999,121.470001,121.470001,1678238
12/4/21,122.730003,123.5,120.800003,121.199997,121.199997,957138
13/4/21,121.440002,126.32,121.440002,124.980003,124.980003,1272632
14/4/21,128.529999,129.449997,126.269997,127.849998,127.849998,2304193
15/4/21,127,128.300003,125.57,127.300003,127.300003,780900
16/4/21,126.800003,128.600006,126.5,127.400002,127.400002,590408
